DTA_CST;COD_CDL;NME_SEG;NME_SBSEG;FXA_INI;FXA_FIM;FXA_UNI;TAR_SIM;VOL_FXA;VOL_ACU;FAT_FXA;FAT_ACU;TAR_MED
13/03/2019;COMGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;1000;2000;NAO;3,219377;1000;2000;3219,38;8218,16;4,1091
13/03/2019;COMGAS;VEICULAR;Frotas;0;0;SIM;1,549394;0;0;0;0;1,5494
13/03/2019;COMGAS;VEICULAR;Postos;0;0;SIM;1,64031;0;0;0;0;1,6403
13/03/2019;COMGAS;VEICULAR;Transporte Público;0;0;SIM;1,549394;0;0;0;0;1,5494
13/03/2019;COMPAGAS;COMERCIAL;NAO POSSUI;0;50;NAO;2,7848;50;50;139,24;139,24;2,7848
13/03/2019;COMPAGAS;COMERCIAL;NAO POSSUI;50;200;NAO;2,3502;150;200;352,53;491,77;2,4588
13/03/2019;COMPAGAS;COMERCIAL;NAO POSSUI;200;800;NAO;2,2028;600;800;1321,68;1813,45;2,2668
13/03/2019;COMPAGAS;COMERCIAL;NAO POSSUI;800;1600;NAO;1,7382;800;1600;1390,56;3204,01;2,0025
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;0;500;NAO;2,1991;500;500;1099,55;1099,55;2,1991
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;500;1000;NAO;1,9105;500;1000;955,25;2054,8;2,0548
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;1000;2000;NAO;1,8356;1000;2000;1835,6;3890,4;1,9452
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;2000;4000;NAO;1,8021;2000;4000;3604,2;7494,6;1,8737
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;4000;8000;NAO;1,7821;4000;8000;7128,4;14623;1,8279
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;8000;16000;NAO;1,7752;8000;16000;14201,6;28824,6;1,8015
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;16000;32000;NAO;1,7643;16000;32000;28228,8;57053,4;1,7829
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;32000;64000;NAO;1,7565;32000;64000;56208;113261,4;1,7697
13/03/2019;COMPAGAS;INDUSTRIAL;NAO POSSUI;64000;128000;NAO;1,7439;64000;128000;111609,6;224871;1,7568
13/03/2019;COMPAGAS;RESIDENCIAL;MEDICAO COLETIVA;0;0;SIM;3,0104;0;0;0;0;3,0104
13/03/2019;COMPAGAS;RESIDENCIAL;MEDICAO INDIVIDUAL;0;0;SIM;3,1774;0;0;0;0;3,1774
13/03/2019;COMPAGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,6178;0;0;0;0;1,6178
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;0;1000;NAO;1,2983;1000;1000;1298,3;1298,3;1,2983
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;1000;5000;NAO;1,2797;4000;5000;5118,8;6417,1;1,2834
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;5000;10000;NAO;1,2706;5000;10000;6353;12770,1;1,277
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;10000;25000;NAO;1,2614;15000;25000;18921;31691,1;1,2676
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;25000;50000;NAO;1,2485;25000;50000;31212,5;62903,6;1,2581
13/03/2019;COPERGAS;COGERACAO;NAO POSSUI;50000;100000;NAO;1,2369;50000;100000;61845;124748,6;1,2475
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;0;1000;NAO;1,4945;1000;1000;1494,5;1494,5;1,4945
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;1000;5000;NAO;1,4703;4000;5000;5881,2;7375,7;1,4751
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;5000;10000;NAO;1,4574;5000;10000;7287;14662,7;1,4663
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;10000;25000;NAO;1,4391;15000;25000;21586,5;36249,2;1,45
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;25000;50000;NAO;1,421;25000;50000;35525;71774,2;1,4355
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;50000;100000;NAO;1,395;50000;100000;69750;141524,2;1,4152
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;100000;125000;NAO;1,3717;25000;125000;34292,5;175816,7;1,4065
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;125000;150000;NAO;1,3245;25000;150000;33112,5;208929,2;1,3929
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;150000;175000;NAO;1,2819;25000;175000;32047,5;240976,7;1,377
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;175000;200000;NAO;1,2782;25000;200000;31955;272931,7;1,3647
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;200000;225000;NAO;1,277;25000;225000;31925;304856,7;1,3549
13/03/2019;COPERGAS;COMERCIAL;GRANDE PORTE;225000;450000;NAO;1,2758;225000;450000;287055;591911,7;1,3154
13/03/2019;COPERGAS;COMERCIAL;PEQUENO PORTE;0;30;NAO;3,8219;30;30;114,66;114,66;3,822
13/03/2019;COPERGAS;COMERCIAL;PEQUENO PORTE;30;150;NAO;2,5354;120;150;304,25;418,91;2,7927
13/03/2019;COPERGAS;COMERCIAL;PEQUENO PORTE;150;3000;NAO;1,8552;2850;3000;5287,32;5706,23;1,9021
13/03/2019;COPERGAS;COMERCIAL;PEQUENO PORTE;3000;9000;NAO;1,8507;6000;9000;11104,2;16810,43;1,8678
13/03/2019;COPERGAS;COMERCIAL;PEQUENO PORTE;9000;18000;NAO;1,7694;9000;18000;15924,6;32735,03;1,8186
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;0;1000;NAO;1,4945;1000;1000;1494,5;1494,5;1,4945
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;1000;5000;NAO;1,4703;4000;5000;5881,2;7375,7;1,4751
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;5000;10000;NAO;1,4574;5000;10000;7287;14662,7;1,4663
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;10000;25000;NAO;1,4391;15000;25000;21586,5;36249,2;1,45
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;25000;50000;NAO;1,421;25000;50000;35525;71774,2;1,4355
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;50000;100000;NAO;1,395;50000;100000;69750;141524,2;1,4152
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;100000;125000;NAO;1,3717;25000;125000;34292,5;175816,7;1,4065
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;125000;150000;NAO;1,3245;25000;150000;33112,5;208929,2;1,3929
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;150000;175000;NAO;1,2819;25000;175000;32047,5;240976,7;1,377
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;175000;200000;NAO;1,2782;25000;200000;31955;272931,7;1,3647
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;200000;225000;NAO;1,277;25000;225000;31925;304856,7;1,3549
13/03/2019;COPERGAS;INDUSTRIAL;GRANDE PORTE;225000;450000;NAO;1,2758;225000;450000;287055;591911,7;1,3154
13/03/2019;COPERGAS;INDUSTRIAL;PEQUENO PORTE;0;30;NAO;3,8219;30;30;114,66;114,66;3,822
13/03/2019;COPERGAS;INDUSTRIAL;PEQUENO PORTE;30;150;NAO;2,5354;120;150;304,25;418,91;2,7927
13/03/2019;COPERGAS;INDUSTRIAL;PEQUENO PORTE;150;3000;NAO;1,8552;2850;3000;5287,32;5706,23;1,9021
13/03/2019;COPERGAS;INDUSTRIAL;PEQUENO PORTE;3000;9000;NAO;1,8507;6000;9000;11104,2;16810,43;1,8678
13/03/2019;COPERGAS;INDUSTRIAL;PEQUENO PORTE;9000;18000;NAO;1,7694;9000;18000;15924,6;32735,03;1,8186
13/03/2019;COPERGAS;RESIDENCIAL;NAO POSSUI;0;30;NAO;3,1835;30;30;95,5;95,5;3,1833
13/03/2019;COPERGAS;RESIDENCIAL;NAO POSSUI;30;150;NAO;2,3633;120;150;283,6;379,1;2,5273
13/03/2019;COPERGAS;RESIDENCIAL;NAO POSSUI;150;750;NAO;2,117;600;750;1270,2;1649,3;2,1991
13/03/2019;COPERGAS;RESIDENCIAL;NAO POSSUI;750;3000;NAO;2,0348;2250;3000;4578,3;6227,6;2,0759
13/03/2019;COPERGAS;RESIDENCIAL;NAO POSSUI;3000;6000;NAO;1,9528;3000;6000;5858,4;12086;2,0143
13/03/2019;COPERGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,3231;0;0;0;0;1,3231
13/03/2019;GASBRASILIANO;COMERCIAL;NAO POSSUI;0;5000;NAO;3,658;5000;5000;18290;18290;3,658
13/03/2019;GASBRASILIANO;COMERCIAL;NAO POSSUI;5000;15000;NAO;3,531;10000;15000;35310;53600;3,5733
