DTA_CST,COD_CDL,NME_SEG,NME_SBSEG,FXA_INI,FXA_FIM,FXA_UNI,FXA_IGUAL,TAR_SIM,VOL_FXA,VOL_ACU,FAT_FXA,FAT_ACU,TAR_MED
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,350,1050,NAO,VERDADEIRO,"1,9007",700,1050,"1330,49","2132,71","2,0312"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,1050,3500,NAO,VERDADEIRO,"1,8579",2450,3500,"4551,86","6684,57","1,9099"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,0,70,NAO,VERDADEIRO,"2,2976",70,70,"160,83","160,83","2,2976"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,70,4500,NAO,VERDADEIRO,"1,9386",4430,4500,"8588,0","8748,83","1,9442"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,3500,7000,NAO,VERDADEIRO,"1,8283",3500,7000,"6399,05","13083,619999999999","1,8691"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,4500,9000,NAO,VERDADEIRO,"1,9152",4500,9000,"8618,4","17367,23","1,9297"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,9000,18000,NAO,VERDADEIRO,"1,8915",9000,18000,"17023,5","34390,729999999996","1,9106"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,7000,42000,NAO,VERDADEIRO,"1,7940",35000,42000,"62790,0","75873,62","1,8065"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,18000,36000,NAO,VERDADEIRO,"1,8695",18000,36000,"33651,0","68041,73","1,89"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,36000,72000,NAO,VERDADEIRO,"1,8478",36000,72000,"66520,8","134562,53","1,8689"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,42000,84000,NAO,VERDADEIRO,"1,7763",42000,84000,"74604,6","150478,22","1,7914"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,72000,144000,NAO,VERDADEIRO,"1,8258",72000,144000,"131457,6","266020,13","1,8474"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,84000,140000,NAO,VERDADEIRO,"1,7438",56000,140000,"97652,8","248131,02000000002","1,7724"
12/02/2019,BAHIAGAS,INDUSTRIAL,NAO POSSUI,140000,245000,NAO,VERDADEIRO,"1,7270",105000,245000,"181335,0","429466,02","1,7529"
12/02/2019,SERGAS,INDUSTRIAL,NAO POSSUI,144000,288000,NAO,VERDADEIRO,"1,7465",144000,288000,"251496,0","517516,13","1,7969"
